iter	Passed	Remaining
0	0	579
1	0	447
2	1	389
3	1	368
4	1	353
5	2	333
6	2	320
7	2	312
8	2	306
9	3	300
10	3	300
11	3	298
12	3	294
13	4	291
14	4	288
15	4	285
16	4	282
17	5	282
18	5	282
19	5	281
20	6	280
21	6	278
22	6	281
23	7	286
24	7	290
25	7	288
26	7	286
27	8	285
28	8	283
29	8	282
30	8	279
31	9	278
32	9	277
33	9	277
34	10	275
35	10	275
36	10	273
37	10	272
38	11	271
39	11	270
40	11	269
41	11	269
42	12	267
43	12	266
44	12	265
45	12	264
46	13	263
47	13	263
48	13	262
49	13	261
50	14	261
51	14	260
52	14	259
53	14	259
54	15	258
55	15	257
56	15	256
57	15	256
58	16	255
59	16	255
60	16	254
61	16	252
62	16	252
63	17	251
64	17	251
65	17	250
66	17	250
67	18	249
68	18	249
69	18	247
70	18	246
71	19	245
72	19	245
73	19	244
74	19	245
75	20	244
76	20	243
77	20	243
78	20	242
79	21	241
80	21	241
81	21	241
82	21	241
83	22	240
84	22	240
85	22	240
86	22	239
87	23	239
88	23	238
89	23	238
90	23	237
91	24	237
92	24	236
93	24	236
94	24	236
95	25	235
96	25	234
97	25	232
98	25	232
99	25	232
100	26	232
101	26	232
102	26	231
103	26	231
104	27	230
105	27	230
106	27	229
107	27	229
108	27	228
109	28	228
110	28	228
111	28	228
112	28	227
113	29	227
114	29	226
115	29	226
116	29	226
117	30	225
118	30	225
119	30	225
120	31	225
121	31	226
122	31	226
123	32	227
124	32	228
125	32	228
126	33	228
127	33	227
128	33	227
129	34	227
130	34	226
131	34	226
132	34	226
133	35	226
134	35	226
135	35	226
136	35	225
137	36	225
138	36	224
139	36	224
140	36	224
141	37	223
142	37	223
143	37	223
144	37	223
145	37	221
146	38	221
147	38	221
148	38	220
149	38	220
150	39	219
151	39	219
152	39	219
153	39	219
154	40	218
155	40	218
156	40	218
157	40	218
158	41	218
159	41	217
160	41	217
161	41	217
162	42	216
163	42	216
164	42	216
165	43	216
166	43	215
167	43	215
168	43	214
169	43	214
170	44	214
171	44	213
172	44	212
173	44	212
174	45	212
175	45	212
176	45	211
177	45	211
178	46	211
179	46	211
180	46	211
181	47	211
182	47	211
183	47	211
184	48	211
185	48	211
186	48	211
187	48	211
188	49	211
189	49	211
190	49	210
191	49	210
192	50	210
193	50	209
194	50	209
195	50	208
